idx,title_list,view_list,link_list,image_list
133,"GOT7(갓세븐) MONOGRAPH ""Call My Name"" EP.02",조회수 30만회,https://www.youtube.com/watch?v=TqOCF1l_ivQ,https://i.ytimg.com/vi/TqOCF1l_ivQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCj42YnW_rCvFG1v4GALgdAFGSulA
134,GOT7(갓세븐) HOTLINE #3,조회수 18만회,https://www.youtube.com/watch?v=vewW9AGi79U,https://i.ytimg.com/vi/vewW9AGi79U/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAtpMoTJKhRNUabDE3iljlBCUwJwQ
135,GOT7(갓세븐) HOTLINE #2,조회수 22만회,https://www.youtube.com/watch?v=k4BHTRmaRMs,https://i.ytimg.com/vi/k4BHTRmaRMs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5vUL7qg9x8a3Sl43_a19kpRT5xA
136,"GOT7(갓세븐) ""니가 부르는 나의 이름"" Performance Video",조회수 697만회,https://www.youtube.com/watch?v=t7dP7BV6q4A,https://i.ytimg.com/vi/t7dP7BV6q4A/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAiJOs3kQuxRcI3O9pxZG39OfpN9Q
137,GOT7(갓세븐) HOTLINE #1,조회수 26만회,https://www.youtube.com/watch?v=o1_IPBjxlvk,https://i.ytimg.com/vi/o1_IPBjxlvk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdhmJCwm5lZI6agWKNUyuSWLOgYw
138,GOT7(갓세븐) TOURLOG EP.15,조회수 25만회,https://www.youtube.com/watch?v=dgoBAHwNNW8,https://i.ytimg.com/vi/dgoBAHwNNW8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDoreb5kImtNIWmA2xYBo_rQcY5kA
139,"GOT7(갓세븐) ""니가 부르는 나의 이름"" Cheer Guide Video",조회수 54만회,https://www.youtube.com/watch?v=yalPcjtESz4,https://i.ytimg.com/vi/yalPcjtESz4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDAr6pj_zXIPkpIvc_RLTscrxSkcw
140,"GOT7(갓세븐) MONOGRAPH ""FAN FEST 2019 SEVEN SECRETS"" EP.08",조회수 13만회,https://www.youtube.com/watch?v=UdVGmRbZ-M0,https://i.ytimg.com/vi/UdVGmRbZ-M0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_TjDPF-jgrDuPi54FcCfCtDj8Fg
141,"GOT7(갓세븐) MONOGRAPH ""Call My Name"" TEASER",조회수 23만회,https://www.youtube.com/watch?v=5mCzdgXe2qc,https://i.ytimg.com/vi/5mCzdgXe2qc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDO6Rn-lLtCBvhWX9ZIZsS8DI3cw
142,"GOT7(갓세븐) MONOGRAPH ""FAN FEST 2019 SEVEN SECRETS"" EP.07",조회수 9.5만회,https://www.youtube.com/watch?v=AbxZOPEJgaw,https://i.ytimg.com/vi/AbxZOPEJgaw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDceIi0v9czyJNBoaJGNzeomwNpRA
