idx,title_list,view_list,link_list,image_list
44,여러분 저희 오늘 신인상 받았어요🥺🎉 | aespa 에스파 ‘서울가요대상’ 비하인드,조회수 77만회,https://www.youtube.com/watch?v=cAOP3sckZx8,https://i.ytimg.com/vi/cAOP3sckZx8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCvIPi_2tr42rqJ3Purmla6LIGfig
45,aespa 에스파 'Forever (약속)' The Performance Stage (Cozy Winter Cabin Ver.),조회수 221만회,https://www.youtube.com/watch?v=8UnLnqQnZAM,https://i.ytimg.com/vi/8UnLnqQnZAM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA5n8_pK-_ehSuQFGORdG47cYgaFA
46,aespa 에스파 'Black Mamba' The Debut Stage Behind The Scenes,조회수 80만회,https://www.youtube.com/watch?v=o1AEJLWlEI0,https://i.ytimg.com/vi/o1AEJLWlEI0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB7RMqs34O3DEXo9Akb5uHk3eLgdg
47,"aespa 에스파 'SYNK, æspa' Behind The Scenes",조회수 74만회,https://www.youtube.com/watch?v=eTIMNsnAPyM,https://i.ytimg.com/vi/eTIMNsnAPyM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBk7ty6J04EZbYMAY0WKy0fCkMOZQ
48,에스파🎤 → 에스파👩🏻‍💼 | aespa TMI 인터뷰,조회수 53만회,https://www.youtube.com/watch?v=xaQMEikeZ3o,https://i.ytimg.com/vi/xaQMEikeZ3o/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBelMhc9pcb587tpHqJk0vWFef1pA
49,aespa 에스파 'Black Mamba' Jacket Behind The Scenes,조회수 97만회,https://www.youtube.com/watch?v=6FY2B2ORi5k,https://i.ytimg.com/vi/6FY2B2ORi5k/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC3EMT_R2hDB7H2gyCaGEPNoVlmBw
50,앞으로 화이팅! 에스파이팅!💪 | aespa 에스파 ‘Black Mamba’ 음악방송 비하인드,조회수 96만회,https://www.youtube.com/watch?v=3EfqbzvLj3o,https://i.ytimg.com/vi/3EfqbzvLj3o/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDntetip6Bb1B27JTmJYdg8n4QsUA
51,aespa 에스파 'Black Mamba' Techwear ver. Dance Practice,조회수 731만회,https://www.youtube.com/watch?v=pgjQkcYD-rQ,https://i.ytimg.com/vi/pgjQkcYD-rQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAUEZPKOgNNOl0TzuKz_y0KtfWm5g
52,aespa 에스파 'Black Mamba' MV Behind The Scenes,조회수 188만회,https://www.youtube.com/watch?v=IwAvRPWyTw0,https://i.ytimg.com/vi/IwAvRPWyTw0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBRzPyt4ZYbrkQrnoNXQGzYE2zPYQ
53,🎈Happy New Year MY!🎈,조회수 29만회,https://www.youtube.com/watch?v=Ug-jMSPSLRE,https://i.ytimg.com/vi/Ug-jMSPSLRE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBJUiwdeih58_mFec3U-_rfFHyV-w
